Washroom Building Asset ID,Park Name,Building Name,GIS Coordinate,Access
29265,ADAMS PARK,ADAMS PARK MAINTENANCE FIELDHOUSE,"(-79.1468689099999,43.79217931)",Public
29266,ADAMS PARK,ADAMS PARK BASEBALL FIELDHOUSE,"(-79.1458221399999,43.79299025)",Private
28882,ALEXANDRA PARK,HARRY R. GAIREY ICE RINK,"(-79.40445431,43.65060928)",
29276,ASHTONBEE RESERVOIR PARK,ASHTONBEE RESERVOIR PARK - Washroom Building,"(-79.2945319099999,43.72964076)",Public
29277,BAIRD PARK,WEST TORONTO LAWN BOWLING CLUB,"(-79.4625413699999,43.6622312499999)",Public
32882,BALMY BEACH PARK,SILVERBIRCH BOAT HOUSE,"(-79.2847231799999,43.67032614)",Public
36346,BALMY BEACH PARK,BALMY BEACH LAWN BOWLING CLUBHOUSE,"(-79.2871197399999,43.6703980099999)",Public
29280,BELLBURY PARK,BELLBURY PARK TENNIS CLUB,"(-79.3609386199999,43.78447053)",Public
29283,BENNINGTON HEIGHTS PARK,BENNINGTON HEIGHTS PARK CLUBHOUSE,"(-79.3700455299999,43.69464198)",Members
29286,BICKFORD PARK,BICKFORD PARK - Washroom Building,"(-79.41804098,43.66036425)",Public
29298,BLANTYRE PARK,BLANTYRE PARK FIELDHOUSE,"(-79.2811333999999,43.68227903)",Private
29300,BLUFFER'S PARK,BLUFFER'S PARK EAST WASHROOM,"(-79.22743338,43.71303079)",Public
29307,BLUFFER'S PARK,BLUFFER'S PARK WEST WASHROOM,"(-79.2349365999999,43.70619047)",Public
13407,BOND PARK,BOND PARK SPORT CENTRE,"(-79.3523145099999,43.7458692199999)",Public
29309,BRIDLEWOOD PARK,BRIDLEWOOD PARK - Fieldhouse,"(-79.3157113599999,43.78329447)",Public
29312,BUDAPEST PARK,BUDAPEST PARK - Fieldhouse,"(-79.44929078,43.6370301600001)",Public
29315,CALEDONIA PARK,CALEDONIA PARK - Fieldhouse,"(-79.4666248399999,43.71398987)",Public
28885,CAMPBELL AVENUE PLAYGROUND,CAMPBELL AVENUE PLAYGROUND A.I.R. BUILDING,"(-79.44842665,43.6629858199999)",Public
29323,CEDAR RIDGE PARK,CEDAR RIDGE PARK - Washroom Building,,
1908,CEDARVALE PARK,PHIL WHITE ARENA,"(-79.43075717,43.6922986)",
37108,CHERRY BEACH CLARKE BEACH PARK,CHERRY BEACH CLARKE BEACH PARK - Washroom Building,"(-79.3443061499999,43.6368806)",Public
46142,CHERRY BEACH SPORTS FIELDS,CHERRY BEACH SPORTS FIELDS - Washroom Building,,
28886,CHRISTIE PITS PARK,CHRISTIE PITS PARK A.I.R. BUILDING,"(-79.42239089,43.66517854)",Public
29332,CLANTON PARK,CLANTON PARK TENNIS CLUBHOUSE,"(-79.4377540499999,43.7460710099999)",Public
29343,CONNORVALE PARK,CONNORVALE PARK - Fieldhouse,"(-79.5297143999999,43.60975399)",Members
36974,CORKTOWN COMMON,CORKTOWN COMMON - Pavilion,,
1701,CORONATION PARK - TORONTO,CORONATION PARK YARD,"(-79.40474246,43.63434331)",Public
29347,CORVETTE PARK,CORVETTE PARK - Washroom Building,"(-79.2601987799999,43.72657291)",Private
29352,DAVID A. BALFOUR PARK,DAVID A. BALFOUR PARK - Storage Building,"(-79.3875741299999,43.68676293)",Public
29359,DERRYDOWNS PARK,DERRYDOWNS PARK - Washroom Building,"(-79.5054628,43.75813643)",Public
28887,DIEPPE PARK,DIEPPE PARK A.I.R. BUILDING,"(-79.33565966,43.69155656)",
29361,DIEPPE PARK,DIEPPE PARK - Washroom Building,"(-79.33471405,43.6918909400001)",Public
29363,DON VALLEY GOLF COURSE,DON VALLEY GOLF COURSE BACK NINE WASHROOM,"(-79.4120654299999,43.7457497899999)",Public
29367,DON VALLEY GOLF COURSE,DON VALLEY GOLF COURSE FRONT NINE WASHROOM,"(-79.4232345299999,43.75033715)",Public
29378,DUFFERIN GROVE PARK,DUFFERIN GROVE PARK - Fieldhouse,"(-79.4335838499999,43.65702326)",Public
29379,DUFFERIN GROVE PARK,DUFFERIN GROVE PARK - Storage Building,"(-79.43219567,43.65705288)",Public
29383,DUNLOP PARK,DUNLOP PARK - Washroom Building,"(-79.2668942399999,43.71281605)",Private
2091,EARL BALES PARK,EARL BALES SKI AND SNOWBOARD CENTRE,"(-79.43185302,43.7525808599999)",Public
13023,EARL BALES PARK,EARL BALES COMMUNITY CENTRE,"(-79.4339786699999,43.7545952099999)",Public
29387,EARLSCOURT PARK,EARLSCOURT PARK - Fieldhouse,"(-79.45234358,43.67411193)",Members
29388,EARLSCOURT PARK,EARLSCOURT PARK - Washroom Building,"(-79.4515652899999,43.67414466)",Public
13476,EDWARDS GARDENS,EDWARDS GARDENS CONCESSION AND SERVICE BUILDING,"(-79.3593782899999,43.73411115)",Public
30888,EDWARDS GARDENS,EDWARDS GARDENS WASHROOM,"(-79.3586455399999,43.7324951999999)",Public
13481,EGLINTON FLATS,EGLINTON FLATS NORTHWEST SERVICE BUILDING,"(-79.50573096,43.68595923)",Staff
13482,EGLINTON FLATS,EGLINTON FLATS SOUTHEAST SPORTS PAVILION,"(-79.4947882599999,43.68420771)",Members
29404,ERINGATE PARK,ERINGATE PARK - Washroom Building,"(-79.5815556899999,43.6623309399999)",Members
29405,ESTHER LORRIE PARK,ESTHER LORRIE FIELDHOUSE,"(-79.5814883,43.7279642799999)",Public
29407,ETIENNE BRULE PARK,ETIENNE BRULE PARK - Washroom Building,"(-79.49285096,43.65284507)",Public
29408,ETOBICOKE VALLEY PARK,ETOBICOKE VALLEY PARK - Washroom Building,"(-79.55681227,43.6043694499999)",Members
29410,FELSTEAD AVENUE PLAYGROUND,FELSTEAD AVENUE PLAYGROUND - Washroom Building,"(-79.3299988899999,43.68024586)",Public
29415,FRED HAMILTON PLAYGROUND,FRED HAMILTON PLAYGROUND - Washroom Building,"(-79.4203956399999,43.65272185)",Public
13493,G. ROSS LORD PARK,G. ROSS LORD PARK SPORTS PAVILLION,"(-79.46222684,43.77931453)",Public
29416,GEORGE WEBSTER PARK,GEORGE WEBSTER PARK - Washroom Building,"(-79.3004348899999,43.70069835)",Public
41662,GLAMORGAN PARK,GLAMORGAN PARK - Washroom Building,"(-79.28807426,43.77258278)",Public
29421,GREENWOOD PARK,GREENWOOD PARK - Fieldhouse,"(-79.32868372,43.66943585)",Public
29427,GWENDOLEN PARK,GWENDOLEN PARK TENNIS CLUBHOUSE,"(-79.42040271,43.75105238)",Members
29443,HARBOUR SQUARE PARK LANDS,HARBOUR SQUARE PARK LANDS - Fieldhouse,"(-79.3758024299999,43.64010727)",Public
29453,HENDON PARK,HENDON PARK TENNIS CLUBHOUSE,"(-79.4213229,43.7812605599999)",Public
5635,HIGH PARK,HIGH PARK OUTDOOR POOL BUILDING - BUILDING 5,"(-79.4657916399999,43.64950509)",Public
29459,HIGH PARK,HIGH PARK CHESS HOUSE - BUILDING 1,"(-79.46639096,43.6528563199999)",Public
29462,HIGH PARK,HIGH PARK COLBORNE LODGE COACH HOUSE - BUILDING 18,"(-79.4600731599999,43.64065803)",Public
29478,HIGH PARK,HIGH PARK LOWER HILLSIDE PUBLIC WASHROOMS AND PICNIC SHELTER - BUILDING 13,"(-79.4669999199999,43.6436645699999)",Public
29502,HIGH PARK,HIGH PARK TEACHING KITCHEN WASHROOM BUILDING - BUILDING 17,"(-79.4613705499999,43.64174995)",Public
29509,HIGH PARK,HIGH PARK UPPER HILLSIDE PUBLIC WASHROOMS - BUILDING 12,"(-79.466897,43.6451060599999)",Public
29511,HIGH PARK,HIGH PARK WASHROOM BUILDING - BUILDING 39,"(-79.4572171699999,43.64440489)",Public
29521,HIGHVIEW PARK,HIGHVIEW PARK - Washroom Building,"(-79.25865299,43.70223947)",Private
29523,HILLCREST PARK,HILLCREST PARK - Fieldhouse,"(-79.42543297,43.67593751)",Public
36492,HINDER AREA,HINDER AREA - Washroom Building,"(-79.4360188899999,43.76017756)",Public
28890,HODGSON PUBLIC SCHOOL - Building Grounds,HODGSON PUBLIC SCHOOL A.I.R. BUILDING,"(-79.38495572,43.70125344)",
29527,HOME SMITH PARK,HOME SMITH PARK - Washroom Building,"(-79.5013004099999,43.65855864)",Public
29531,HOWARD TALBOT PARK,HOWARD TALBOT PARK - Washroom Building,"(-79.3739285099999,43.7111404)",Private
29536,IROQUOIS PARK,IROQUOIS PARK - Fieldhouse,"(-79.26797589,43.80330445)",Private
58062,JACK LAYTON FERRY TERMINAL,JACK LAYTON FERRY TERMINAL - Concession/Washroom Building,,
29542,JAMES GARDENS,JAMES GARDENS WASHROOM,"(-79.5148109899999,43.67161591)",Public
37105,JEAN SIBELIUS SQUARE,JEAN SIBELIUS SQUARE - Fieldhouse,"(-79.4088546576968,43.6717222311672)",Public
32922,JONATHAN ASHBRIDGE PARK,JONATHAN ASHBRIDGE PARK FIELDHOUSE AND WASHROOM,,
29354,JUNE ROWLANDS PARK,DAVISVILLE TENNIS CLUBHOUSE,"(-79.3882133799999,43.7002781)",Public
29546,KEELESDALE NORTH PARK,KEELESDALE NORTH PARK - Fieldhouse,"(-79.4825771299999,43.6899406)",Private
36323,KEW GARDENS,KEW BEACH LAWN BOWLING CLUB,"(-79.29730372,43.66657292)",Public
36324,KEW GARDENS,KEW GARDENS PLAYGROUND WASHROOM,"(-79.29995589,43.6692784700001)",Public
29547,L'AMOREAUX NORTH PARK,L'AMOREAUX NORTH PARK FIELDHOUSE,"(-79.30441085,43.81010927)",Public
36264,L'AMOREAUX SPORTS COMPLEX,KIDSTOWN,"(-79.30943469,43.80702322)",Public
29553,LAWRENCE PARK AND RAVINE,LAWRENCE PARK TENNIS CLUBHOUSE,"(-79.3990207,43.72079089)",Members
59947,LEE LIFESON ART PARK,LEE LIFESON ART PARK - Washroom Building,,
29556,LESLIE GROVE PARK,LESLIE GROVE PARK - Fieldhouse,"(-79.33366187,43.66267514)",Public
29561,LITHUANIA PARK,LITHUANIA PARK - Fieldhouse,"(-79.4640382399999,43.65900802)",Public
32902,LITTLE NORWAY PARK,LITTLE NORWAY PARK FIELDHOUSE AND PUBLIC WASHROOM,"(-79.39839691,43.6340678799999)",Public
29565,LYTTON PARK,LYTTON PARK LAWN BOWLING CLUB,"(-79.4108810499999,43.71495442)",Members
29566,LYTTON PARK,LYTTON PARK TENNIS CLUBHOUSE,"(-79.41074681,43.71529366)",Public
29567,MACGREGOR PLAYGROUND,MACGREGOR PLAYGROUND - Fieldhouse,"(-79.4418031999999,43.65313642)",Public
13599,MAJOR ABBAS ALI PARK,SCOTT WESTNEY YOUTH RESOURCE CENTRE,,
13591,MARIE CURTIS PARK,MARIE CURTIS PARK CONCESSION,"(-79.54143166,43.5857382300001)",Public
29570,MARIE CURTIS PARK,MARIE CURTIS PARK - Washroom Building,"(-79.5430500899999,43.5876957999999)",Public
32743,MCCLEARY PARK,MCCLEARY PARK FIELDHOUSE AND WASHROOM,"(-79.3406939699999,43.6533840799999)",Public
13602,MILLIKEN DISTRICT PARK,MILLIKEN DISTRICT PARK WASHROOM AND CONCESSION BUILDING,"(-79.2718654899999,43.83004992)",Public
29572,MILLWOOD PARK,MILLWOOD PARK - Washroom Building,"(-79.5773215,43.6314659600001)",Private
5404,MONARCH PARK,MONARCH PARK OUTDOOR POOL BUILDING,"(-79.32587848,43.67785249)",
30923,MOOREVALE PARK,MOOREVALE PARK LAWN BOWLING AND TENNIS CLUB,"(-79.38223315,43.69358275)",
29581,MORSE STREET PLAYGROUND,MORSE STREET PLAYGROUND - Fieldhouse,"(-79.3398727,43.6565665300001)",Public
32622,NATHAN PHILLIPS SQUARE,NATHAN PHILLIPS SQUARE A.I.R. BUILDING,"(-79.3839705199999,43.65212799)",Public
29583,NEILSON PARK - SCARBOROUGH,NEILSON PARK - SCARBOROUGH - Fieldhouse,"(-79.2243563699999,43.81359515)",Public
