latitude,longitude,access,Building Name,,,clean names,ratings,clean ratings
43.79217931,-79.146869,Public,ADAMS PARK MAINTENANCE FIELDHOUSE,,,ADAMS,Rating: 1/5,Dirty
43.79299025,-79.145822,Private,ADAMS PARK BASEBALL FIELDHOUSE,,,ADAMS,Rating: 3/5,Dirty
43.72964076,-79.294532,Public,ASHTONBEE RESERVOIR PARK - Washroom Building,,,ASHTONBEE,Rating: 5/5,Dirty
43.66223125,-79.462541,Public,WEST TORONTO LAWN BOWLING CLUB,,,WEST,Rating: 1/5,Mediocre Clean
43.67032614,-79.284723,Public,SILVERBIRCH BOAT HOUSE,,,SILVERBIRCH,Rating: 4/5,Clean
43.67039801,-79.28712,Public,BALMY BEACH LAWN BOWLING CLUBHOUSE,,,BALMY,Rating: 0/5,Clean
43.78447053,-79.360939,Public,BELLBURY PARK TENNIS CLUB,,,BELLBURY,Rating: 0/5,Dirty
43.69464198,-79.370046,Members,BENNINGTON HEIGHTS PARK CLUBHOUSE,,,BENNINGTON,Rating: 4/5,Clean
43.66036425,-79.418041,Public,BICKFORD PARK - Washroom Building,,,BICKFORD,Rating: 1/5,Mediocre Clean
43.68227903,-79.281133,Private,BLANTYRE PARK FIELDHOUSE,,,BLANTYRE,Rating: 4/5,Clean
43.71303079,-79.227433,Public,BLUFFER'S PARK EAST WASHROOM,,,BLUFFER'S,Rating: 4/5,Dirty
43.70619047,-79.234937,Public,BLUFFER'S PARK WEST WASHROOM,,,BLUFFER'S,Rating: 3/5,Mediocre Clean
43.74586922,-79.352315,Public,BOND PARK SPORT CENTRE,,,BOND,Rating: 2/5,Clean
43.78329447,-79.315711,Public,BRIDLEWOOD PARK - Fieldhouse,,,BRIDLEWOOD,No Rating,Clean
43.63703016,-79.449291,Public,BUDAPEST PARK - Fieldhouse,,,BUDAPEST,No Rating,Clean
43.71398987,-79.466625,Public,CALEDONIA PARK - Fieldhouse,,,CALEDONIA,Rating: 4/5,Clean
43.66298582,-79.448427,Public,CAMPBELL AVENUE PLAYGROUND A.I.R. BUILDING,,,CAMPBELL,Rating: 5/5,Mediocre Clean
43.6368806,-79.344306,Public,CHERRY BEACH CLARKE BEACH PARK - Washroom Building,,,CHERRY,Rating: 0/5,Clean
43.66517854,-79.422391,Public,CHRISTIE PITS PARK A.I.R. BUILDING,,,CHRISTIE,Rating: 0/5,Mediocre Clean
43.74607101,-79.437754,Public,CLANTON PARK TENNIS CLUBHOUSE,,,CLANTON,Rating: 4/5,Dirty
43.60975399,-79.529714,Members,CONNORVALE PARK - Fieldhouse,,,CONNORVALE,Rating: 0/5,Dirty
43.63434331,-79.404742,Public,CORONATION PARK YARD,,,CORONATION,No Rating,Mediocre Clean
43.72657291,-79.260199,Private,CORVETTE PARK - Washroom Building,,,CORVETTE,Rating: 1/5,Dirty
43.68676293,-79.387574,Public,DAVID A. BALFOUR PARK - Storage Building,,,DAVID,Rating: 1/5,Mediocre Clean
43.75813643,-79.505463,Public,DERRYDOWNS PARK - Washroom Building,,,DERRYDOWNS,Rating: 4/5,Dirty
43.69189094,-79.334714,Public,DIEPPE PARK - Washroom Building,,,DIEPPE,Rating: 3/5,Clean
43.74574979,-79.412065,Public,DON VALLEY GOLF COURSE BACK NINE WASHROOM,,,DON,Rating: 0/5,Dirty
43.75033715,-79.423235,Public,DON VALLEY GOLF COURSE FRONT NINE WASHROOM,,,DON,No Rating,Mediocre Clean
43.65702326,-79.433584,Public,DUFFERIN GROVE PARK - Fieldhouse,,,DUFFERIN,Rating: 5/5,Clean
43.65705288,-79.432196,Public,DUFFERIN GROVE PARK - Storage Building,,,DUFFERIN,No Rating,Mediocre Clean
43.71281605,-79.266894,Private,DUNLOP PARK - Washroom Building,,,DUNLOP,Rating: 3/5,Dirty
43.75258086,-79.431853,Public,EARL BALES SKI AND SNOWBOARD CENTRE,,,EARL,Rating: 1/5,Mediocre Clean
43.75459521,-79.433979,Public,EARL BALES COMMUNITY CENTRE,,,EARL,Rating: 3/5,Dirty
43.67411193,-79.452344,Members,EARLSCOURT PARK - Fieldhouse,,,EARLSCOURT,Rating: 3/5,Mediocre Clean
43.67414466,-79.451565,Public,EARLSCOURT PARK - Washroom Building,,,EARLSCOURT,Rating: 2/5,Mediocre Clean
